participantID,DateFirstInitialSurvey,DateSurvey2010_04,DateSurvey2010_05,DateSurvey2010_07,DateSurvey2010_11,DateSurvey2010_12,DateSurvey2011_03,DateSurvey2011_04
sp10-01-19,2010-02-28,2010-04-08,2010-05-07,2010-07-12,2010-11-09,2010-12-05,2011-03-10,2011-04-22
sp10-01-20,2010-03-02,2010-04-15,2010-05-10,NA,NA,NA,NA,NA
sp10-01-21,2010-03-02,2010-05-01,NA,NA,NA,NA,NA,NA
sp10-01-22,2010-03-05,2010-04-30,2010-05-10,2010-07-21,2010-11-16,2011-02-08,2011-04-20,NA
sp10-01-23,2010-03-05,2010-04-08,2010-05-07,2010-07-13,2010-11-09,2011-02-05,2011-03-14,NA
sp10-01-24,2010-03-05,2010-04-08,NA,NA,2010-11-10,2010-12-06,2011-03-07,2011-05-03
sp10-01-25,2010-03-09,2010-04-30,NA,NA,2010-11-23,2010-12-06,NA,2011-05-03
sp10-01-26,2010-03-10,2010-04-11,2010-05-16,NA,NA,NA,2011-03-22,2011-06-08
sp10-01-27,2010-03-12,NA,NA,NA,NA,NA,NA,NA
sp10-01-28,2010-03-12,2010-04-09,2010-05-08,2010-07-13,NA,NA,NA,NA
sp10-01-29,2010-03-12,2010-04-09,NA,NA,NA,NA,NA,NA
sp10-01-30,2010-03-12,2010-04-11,2010-05-10,2010-07-19,2010-11-11,2010-12-28,2011-03-10,2011-05-04
sp10-01-31,2010-03-12,2010-04-13,2010-05-10,2010-07-19,2010-11-09,2010-12-06,2011-03-07,2011-04-25
sp10-01-32,2010-03-12,2010-04-08,2010-05-10,2010-07-19,2010-11-11,2010-12-08,2011-03-14,2011-05-06
sp10-01-33,2010-03-12,2010-04-08,NA,2010-07-18,2010-11-12,2011-02-17,2011-03-09,2011-05-03
sp10-01-34,2010-03-12,2010-04-11,2010-05-16,2010-07-21,2010-11-16,2011-01-04,2011-03-10,2011-05-04
sp10-01-35,2010-03-12,2010-04-11,2010-06-03,2010-07-21,2010-11-19,2010-12-21,2011-03-16,2011-05-28
sp10-01-36,2010-03-13,2010-04-10,2010-05-12,2010-07-22,2010-11-09,2011-02-05,2011-03-15,2011-05-03
sp10-01-37,2010-03-13,2010-04-30,2010-05-09,2010-07-16,2010-11-10,NA,NA,2011-06-11
sp10-01-38,2010-03-13,2010-04-19,2010-05-07,2010-08-09,2010-11-10,2010-12-17,2011-03-16,2011-05-03
sp10-01-39,2010-03-13,2010-06-22,2010-05-18,2010-08-12,2010-11-09,2010-12-10,NA,2011-05-25
sp10-01-40,2010-03-13,2010-04-13,2010-05-07,2010-07-14,2010-11-10,2010-12-10,2011-03-27,2011-05-25
sp10-01-41,2010-03-13,2010-04-13,2010-05-07,2010-07-13,2010-11-09,2010-12-06,2011-03-10,2011-04-24
sp10-01-42,2010-03-13,2010-04-11,2010-05-10,2010-07-18,2010-11-18,2010-12-12,2011-03-07,2011-05-10
sp10-01-43,2010-03-13,2010-04-09,NA,NA,2010-11-09,2010-12-10,2011-03-14,2011-06-07
sp10-01-44,2010-03-13,2010-04-15,2010-05-16,2010-08-01,2010-11-15,2011-02-22,2011-03-22,2011-05-25
sp10-01-45,2010-03-13,2010-04-08,2010-05-07,2010-07-25,2010-11-09,2010-12-06,2011-03-11,2011-04-22
sp10-01-46,2010-03-17,2010-04-09,2010-05-07,2010-07-12,2010-11-12,2010-12-05,2011-03-11,2011-04-22
sp10-01-47,2010-03-18,2010-04-08,2010-05-07,2010-07-22,NA,NA,NA,NA
sp10-01-48,2010-03-18,2010-04-09,2010-05-10,2010-07-12,2010-11-10,2010-12-08,2011-03-09,2011-05-04
sp10-01-49,2010-03-18,2010-04-10,2010-05-10,2010-07-13,2010-11-13,2010-12-08,2011-03-07,2011-04-29
sp10-01-50,2010-03-18,2010-04-20,2010-05-08,NA,NA,NA,NA,NA
sp10-01-51,2010-03-19,2010-04-09,NA,NA,NA,NA,NA,NA
sp10-01-52,2010-04-11,2010-04-29,2010-05-11,2010-07-24,2010-11-10,2011-01-03,NA,NA
sp10-01-53,2010-10-11,NA,NA,NA,2010-12-27,2010-12-27,2011-03-20,NA
sp10-01-54,2010-06-23,2010-06-23,2010-06-23,NA,NA,NA,NA,NA
sp10-01-55,2010-03-26,2010-04-29,2010-05-07,2010-07-12,NA,NA,NA,NA
sp10-01-56,2010-04-07,NA,NA,NA,NA,NA,NA,2011-06-12
NA,NA,NA,NA,NA,NA,NA,NA,2011-05-25
